10.25 0.00237 0.00054 0.00183 -1.20e+08 0.05 1.53 -1.49 8.44e+43 5.25e+37 3.50e+06 -nan 2.18e+07 186798352.00 20.75 0.00499 0.01696 0.00216 0.00009 0.03388 0.06681 -0.03292 0.00048 0.00000 1.44766 
10.75 0.00264 0.00018 0.00246 5.11e+06 0.05 1.55 -1.50 9.41e+43 5.81e+37 3.25e+06 -nan 2.78e+07 249009168.00 21.75 0.00672 0.00621 0.00236 0.00004 0.03844 0.06952 -0.03108 0.00017 0.00000 1.46272 
11.25 0.00163 0.00015 0.00148 -3.09e+06 0.06 1.56 -1.50 5.81e+43 6.57e+37 3.01e+06 -nan 1.78e+07 150712656.00 22.75 0.00506 0.00537 0.00154 0.00000 0.04443 0.07093 -0.02650 0.00014 0.00000 1.46844 
11.75 0.00092 0.00011 0.00081 -7.78e+06 0.06 1.56 -1.50 3.28e+43 7.14e+37 2.77e+06 -nan 1.08e+07 83489208.00 23.75 0.00333 0.00411 0.00086 0.00003 0.04921 0.07093 -0.02172 0.00010 0.00000 1.47335 
12.25 0.00132 0.00000 0.00132 5.27e+07 0.07 1.56 -1.50 4.68e+43 7.52e+37 2.53e+06 -nan 1.57e+07 134083552.00 24.75 0.00527 0.00000 0.00126 0.00001 0.05231 0.07181 -0.01950 0.00000 0.00000 1.47710 
12.75 0.00092 0.00000 0.00092 3.45e+07 0.07 1.56 -1.49 3.27e+43 8.11e+37 2.30e+06 -nan 1.15e+07 94172800.00 25.75 0.00345 0.00000 0.00087 0.00000 0.05734 0.07212 -0.01478 0.00000 0.00000 1.47710 
13.25 0.00101 0.00000 0.00101 3.66e+07 0.08 1.56 -1.49 3.61e+43 8.50e+37 2.08e+06 -nan 1.22e+07 103574880.00 26.75 0.00366 0.00000 0.00094 0.00000 0.06062 0.07212 -0.01150 0.00000 0.00000 1.47710 
13.75 0.00115 0.00000 0.00115 3.43e+07 0.08 1.56 -1.49 4.09e+43 8.91e+37 1.87e+06 -nan 1.34e+07 116668032.00 27.75 0.00343 0.00000 0.00107 0.00000 0.06400 0.07212 -0.00812 0.00000 0.00000 1.47710 
14.25 0.00060 0.00000 0.00060 1.97e+07 0.08 1.56 -1.48 2.13e+43 9.30e+37 1.68e+06 -nan 7.66e+06 61520936.00 28.75 0.00197 0.00000 0.00058 0.00000 0.06720 0.07212 -0.00492 0.00000 0.00000 1.47710 
14.75 0.00086 0.00000 0.00086 3.21e+07 0.08 1.56 -1.48 3.06e+43 9.52e+37 1.50e+06 -nan 1.01e+07 87549120.00 29.75 0.00321 0.00000 0.00081 0.00000 0.06910 0.07212 -0.00302 0.00000 0.00000 1.47710 
15.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.34e+06 -nan 1.34e+06 1335992.12 30.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
15.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.18e+06 -nan 1.18e+06 1184932.88 31.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
16.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.05e+06 -nan 1.05e+06 1047457.19 32.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
16.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 9.23e+05 -nan 9.23e+05 923019.38 33.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
17.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 8.11e+05 -nan 8.11e+05 810941.31 34.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
17.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 7.10e+05 -nan 7.10e+05 710459.44 35.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
18.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 6.21e+05 -nan 6.21e+05 620758.12 36.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
18.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 5.41e+05 -nan 5.41e+05 540998.62 37.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
19.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 4.70e+05 -nan 4.70e+05 470341.94 38.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
