0.25 0.00000 0.00000 0.00000 0.00e+00 0.00 0.00 0.00 0.00e+00 0.00e+00 3.00e+05 -nan 3.00e+05 299910.75 0.75 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00145 0.00000 
0.75 0.24245 0.00331 0.23915 -4.64e+07 0.00 0.00 0.00 6.89e+45 0.00e+00 5.71e+05 -nan 2.39e+09 23915274240.00 1.75 0.00078 0.00542 0.02426 0.00005 0.00000 0.00000 0.00000 0.00290 0.01944 0.00000 
1.25 0.29633 0.01497 0.28136 -4.70e+08 0.00 0.01 -0.00 8.43e+45 7.07e+35 9.31e+05 -nan 2.81e+09 28137363456.00 2.75 0.00195 0.04898 0.13544 0.00020 0.00008 0.00008 0.00000 0.01440 0.00854 0.00476 
1.75 0.25992 0.02499 0.23493 -1.13e+09 0.00 0.05 -0.05 7.39e+45 2.46e+36 1.36e+06 -nan 2.35e+09 23494645760.00 3.75 0.00228 0.11569 0.09220 0.00025 0.00097 0.00073 0.00023 0.02448 0.00966 0.05197 
2.25 0.10214 0.00834 0.09381 -4.94e+08 0.01 0.17 -0.17 2.90e+45 4.52e+36 1.83e+06 -nan 9.40e+08 9382779904.00 4.75 0.00179 0.05123 0.05927 0.00015 0.00178 0.00189 -0.00011 0.00801 0.02153 0.16528 
2.75 0.05463 0.00932 0.04531 -6.88e+08 0.01 0.22 -0.21 1.55e+45 6.13e+36 2.32e+06 -nan 4.55e+08 4533272576.00 5.75 0.00139 0.07015 0.01984 0.00012 0.00282 0.00282 0.00000 0.00907 0.01270 0.21451 
3.25 0.06949 0.00984 0.05965 -9.22e+08 0.01 0.29 -0.28 1.98e+45 7.38e+36 2.80e+06 -nan 5.99e+08 5967988736.00 6.75 0.00200 0.09421 0.04105 0.00004 0.00332 0.00376 -0.00044 0.00963 0.01279 0.28272 
3.75 0.14585 0.00986 0.13599 -1.04e+09 0.01 0.39 -0.38 4.15e+45 9.18e+36 3.24e+06 -nan 1.36e+09 13602380800.00 7.75 0.00313 0.10719 0.08874 0.00014 0.00450 0.00414 0.00036 0.00970 0.00434 0.37494 
4.25 0.07240 0.03027 0.04213 -3.76e+09 0.01 0.49 -0.48 2.06e+45 1.20e+37 3.64e+06 -nan 4.25e+08 4216564480.00 8.75 0.00233 0.37830 0.04549 0.00022 0.00641 0.00564 0.00077 0.02992 0.00354 0.48040 
4.75 0.05262 0.01344 0.03918 -1.88e+09 0.02 0.87 -0.86 1.50e+45 1.41e+37 3.97e+06 -nan 3.96e+08 3921564672.00 9.75 0.00351 0.19130 0.03501 0.00021 0.00787 0.00837 -0.00050 0.01314 0.00146 0.85433 
5.25 0.02245 0.01391 0.00854 -2.14e+09 0.02 1.06 -1.04 6.38e+44 1.73e+37 4.22e+06 -nan 8.96e+07 857972736.00 10.75 0.00252 0.21645 0.01460 0.00029 0.01021 0.01128 -0.00107 0.01359 0.00000 1.04137 
5.75 0.01515 0.01230 0.00286 -2.12e+09 0.02 1.28 -1.26 4.31e+44 1.95e+37 4.40e+06 -nan 3.30e+07 289937216.00 11.75 0.00208 0.21386 0.01152 0.00033 0.01185 0.01577 -0.00393 0.01182 0.00008 1.25276 
6.25 0.01859 0.01314 0.00545 -2.46e+09 0.02 1.49 -1.47 5.29e+44 2.14e+37 4.51e+06 -nan 5.90e+07 549355008.00 12.75 0.00379 0.24994 0.01304 0.00039 0.01343 0.02138 -0.00796 0.01234 0.00000 1.45827 
6.75 0.01526 0.01405 0.00121 -2.83e+09 0.03 1.74 -1.72 4.34e+44 2.48e+37 4.55e+06 -nan 1.66e+07 125413192.00 13.75 0.00430 0.28702 0.01069 0.00080 0.01609 0.02859 -0.01251 0.01325 0.00000 1.69289 
7.25 0.00579 0.00489 0.00090 -1.05e+09 0.03 2.03 -2.00 1.65e+44 2.87e+37 4.52e+06 -nan 1.35e+07 94055824.00 14.75 0.00243 0.10751 0.00506 0.00048 0.01910 0.04423 -0.02514 0.00461 0.00000 1.96361 
7.75 0.00337 0.00435 -0.00098 -9.99e+08 0.03 2.14 -2.10 9.57e+43 3.09e+37 4.44e+06 -nan -5.35e+06 -93420048.00 15.75 0.00217 0.10205 0.00296 0.00024 0.02122 0.05434 -0.03311 0.00407 0.00000 2.06489 
8.25 0.00449 0.00447 0.00002 -1.07e+09 0.04 2.24 -2.20 1.28e+44 3.29e+37 4.31e+06 -nan 4.47e+06 5841702.50 16.75 0.00479 0.11221 0.00391 0.00018 0.02313 0.05970 -0.03657 0.00416 0.00000 2.16049 
8.75 0.00193 0.00313 -0.00120 -7.99e+08 0.04 2.35 -2.31 5.49e+43 3.72e+37 4.15e+06 -nan -7.89e+06 -116188480.00 17.75 0.00327 0.08322 0.00172 0.00026 0.02731 0.06409 -0.03679 0.00292 0.00000 2.26490 
9.25 0.00159 0.00191 -0.00032 -5.14e+08 0.04 2.43 -2.39 4.52e+43 4.01e+37 3.95e+06 -nan 7.05e+05 -28486158.00 18.75 0.00274 0.05418 0.00148 0.00015 0.03023 0.07078 -0.04056 0.00178 0.00000 2.34251 
9.75 0.00352 0.00121 0.00230 -2.95e+08 0.05 2.49 -2.44 1.00e+44 4.26e+37 3.73e+06 -nan 2.67e+07 233860256.00 19.75 0.00635 0.03588 0.00316 0.00013 0.03278 0.07486 -0.04208 0.00114 0.00000 2.39291 
10.25 0.00309 0.00000 0.00309 6.51e+07 0.05 2.52 -2.47 8.80e+43 4.83e+37 3.50e+06 -nan 3.44e+07 312839296.00 20.75 0.00651 0.00000 0.00281 0.00003 0.03850 0.07853 -0.04003 0.00000 0.00000 2.42674 
10.75 0.00373 0.00000 0.00373 9.50e+07 0.06 2.52 -2.46 1.06e+44 5.42e+37 3.25e+06 -nan 4.06e+07 376751008.00 21.75 0.00950 0.00000 0.00355 0.00001 0.04441 0.07942 -0.03501 0.00000 0.00000 2.42674 
11.25 0.00166 0.00018 0.00147 -1.33e+07 0.07 2.52 -2.46 4.71e+43 6.27e+37 3.01e+06 -nan 1.77e+07 150286240.00 22.75 0.00513 0.00646 0.00149 0.00000 0.05344 0.07984 -0.02640 0.00017 0.00000 2.42674 
11.75 0.00120 0.00000 0.00120 4.35e+07 0.07 2.53 -2.46 3.42e+43 6.74e+37 2.77e+06 -nan 1.48e+07 122900024.00 23.75 0.00435 0.00000 0.00113 0.00000 0.05804 0.07984 -0.02180 0.00000 0.00000 2.43274 
12.25 0.00103 0.00000 0.00103 4.13e+07 0.08 2.53 -2.45 2.93e+43 7.13e+37 2.53e+06 -nan 1.28e+07 105532816.00 24.75 0.00413 0.00000 0.00097 0.00000 0.06213 0.07984 -0.01771 0.00000 0.00000 2.43274 
12.75 0.00086 0.00000 0.00086 3.21e+07 0.08 2.53 -2.45 2.44e+43 7.50e+37 2.30e+06 -nan 1.09e+07 87935928.00 25.75 0.00321 0.00000 0.00081 0.00001 0.06602 0.07984 -0.01382 0.00000 0.00000 2.43274 
13.25 0.00099 0.00000 0.00099 3.59e+07 0.09 2.53 -2.44 2.82e+43 7.79e+37 2.08e+06 -nan 1.20e+07 101415176.00 26.75 0.00359 0.00000 0.00093 0.00000 0.06905 0.08019 -0.01114 0.00000 0.00000 2.43274 
13.75 0.00037 0.00000 0.00037 1.12e+07 0.09 2.53 -2.44 1.06e+43 8.11e+37 1.87e+06 -nan 5.62e+06 39323816.00 27.75 0.00112 0.00000 0.00034 0.00000 0.07241 0.08019 -0.00778 0.00000 0.00000 2.43274 
14.25 0.00125 0.00000 0.00125 4.12e+07 0.09 2.53 -2.44 3.55e+43 8.21e+37 1.68e+06 -nan 1.42e+07 126624136.00 28.75 0.00412 0.00000 0.00118 0.00000 0.07342 0.08019 -0.00677 0.00000 0.00000 2.43274 
14.75 0.00087 0.00000 0.00087 3.26e+07 0.10 2.53 -2.44 2.48e+43 8.58e+37 1.50e+06 -nan 1.02e+07 88837280.00 29.75 0.00326 0.00000 0.00078 0.00000 0.07730 0.08019 -0.00289 0.00000 0.00000 2.43274 
15.25 0.00000 0.00000 0.00000 0.00e+00 0.10 2.53 -2.43 0.00e+00 8.88e+37 1.34e+06 -nan 1.34e+06 1335992.12 30.75 0.00000 0.00000 0.00000 0.00000 0.08019 0.08019 0.00000 0.00000 0.00000 2.43274 
15.75 0.00000 0.00000 0.00000 0.00e+00 0.10 2.53 -2.43 0.00e+00 8.88e+37 1.18e+06 -nan 1.18e+06 1184932.88 31.75 0.00000 0.00000 0.00000 0.00000 0.08019 0.08019 0.00000 0.00000 0.00000 2.43274 
